longitude,latitude,Cena,Izby,Druh,Plocha,distance_from_centre
18.0653544,48.3049644,133000,3,3 izbový byt,84,72.7
18.0932864,48.314884,134000,2,2 izbový byt,60,75
18.0450799,48.3017318,123000,2,2 izbový byt,123,71.2
18.6011482,48.2192923,63000,1,1 izbový byt,36,110.6
18.171697,48.5584441,76000,1,1 izbový byt,36,90.7
17.8889861,48.1642945,105000,3,3 izbový byt,75,57.6
18.086038,48.3128725,178000,4,4 izbový byt,100,74.4
18.086038,48.3128725,134000,2,2 izbový byt,63,74.4
18.086038,48.3128725,148000,3,3 izbový byt,69,74.4
18.086038,48.3128725,128000,3,3 izbový byt,61,74.4
18.1308354,47.7568291,62000,2,2 izbový byt,49,87.2
18.0486844,48.3042873,135500,3,3 izbový byt,78,71.5
18.086038,48.3128725,181000,3,3 izbový byt,79,74.4
18.0273376,48.3473625,181000,3,3 izbový byt,79,71.3
17.884183,48.148724,148000,3,3 izbový byt,85,57.2
17.8894446,48.1642923,109000,3,3 izbový byt,64,57.6
17.8765504,48.1481015,92000,2,2 izbový byt,54,56.6
18.0912919,48.3039415,159000,2,2 izbový byt,57,74.6
18.0737317,48.294028,138500,3,3 izbový byt,68,73.1
17.8764569,48.1541342,93000,3,3 izbový byt,73,56.6
18.0273376,48.3473625,181000,3,3 izbový byt,79,71.3
18.170141,47.9847096,107500,3,3 izbový byt,74,80.5
17.8909142,48.16355,90000,3,3 izbový byt,64,57.7
17.8806743,48.1466054,110000,3,3 izbový byt,68,56.9
17.8764569,48.1541342,75500,1,1 izbový byt,50,56.6
18.0590505,48.3022117,163000,4,4 izbový byt,75,72.2
18.0273376,48.3473625,181000,3,3 izbový byt,79,71.3
17.8764569,48.1541342,75500,1,1 izbový byt,50,56.6
17.8714888,48.1560822,103000,3,3 izbový byt,75,56.3
17.8753711,48.1504396,117000,2,2 izbový byt,69,56.5
17.8732787,48.1592791,105000,3,3 izbový byt,82,56.4
17.870425,48.15724,100000,2,2 izbový byt,66,56.2
18.0912919,48.3039415,165000,2,2 izbový byt,61,74.6
18.6082586,48.2133611,107000,3,3 izbový byt,72,111.1
18.1563161,47.9797862,145000,3,3 izbový byt,84,79.6
18.59744635,48.21604982,114000,3,3 izbový byt,78,110.3
18.12358456,47.76197367,105000,3,3 izbový byt,68,86.4
18.1100367,47.769368,68000,2,2 izbový byt,59,85.1
17.8682811,48.3103258,112500,3,3 izbový byt,69,58.9
18.171697,48.5584441,100000,3,3 izbový byt,76,90.7
18.5181894,48.2921447,59990,2,2 izbový byt,56,105.3
18.6011482,48.2192923,93000,3,3 izbový byt,67,110.6
18.6011482,48.2192923,63000,1,1 izbový byt,36,110.6
18.6011482,48.2192923,135000,4,4 izbový byt,90,110.6
18.612751,48.2037717,83000,2,2 izbový byt,67,111.3
18.5978004,48.2161928,117900,3,3 izbový byt,83,110.3
18.5973726,48.2122894,63000,2,2 izbový byt,51,110.3
18.5978004,48.2161928,83000,2,2 izbový byt,61,110.3
18.6002957,48.2124361,108000,3,3 izbový byt,63,110.5
18.6011482,48.2192923,99900,4,4 izbový byt,82,110.6
18.6009468,48.2150831,73000,2,2 izbový byt,48,110.5
18.6051464,48.2039771,99900,3,3 izbový byt,79,110.8
18.5965063,48.2118694,88000,3,3 izbový byt,68,110.2
18.6011482,48.2192923,128000,4,4 izbový byt,93,110.6
18.612751,48.2037717,63000,1,1 izbový byt,36,111.3
18.6051464,48.2039771,93000,3,3 izbový byt,60,110.8
18.5978004,48.2161928,97000,3,3 izbový byt,69,110.3
18.6011482,48.2192923,116000,4,4 izbový byt,82,110.6
18.6530118,48.0487539,69900,2,2 izbový byt,66,114.8
18.6042471,48.2052771,93000,3,3 izbový byt,62,110.7
18.612751,48.2037717,68000,1,1 izbový byt,37,111.3
18.6082586,48.2133611,77000,3,3 izbový byt,67,111.1
18.6009468,48.2150831,83000,2,2 izbový byt,54,110.5
18.5978004,48.2161928,95000,3,3 izbový byt,70,110.3
18.6011482,48.2192923,99900,3,3 izbový byt,70,110.6
18.6051464,48.2039771,115000,3,3 izbový byt,77,110.8
18.6030776,48.2221835,128000,4,4 izbový byt,81,110.8
18.6030776,48.2221835,128000,4,4 izbový byt,81,110.8
18.6011482,48.2192923,119000,3,3 izbový byt,94,110.6
18.1294132,47.7625785,84490,3,3 izbový byt,70,86.8
18.1640649,47.9860672,87000,2,2 izbový byt,60,80
18.1571098,47.9881643,99000,3,3 izbový byt,67,79.5
18.1571102,47.988163,140000,3,3 izbový byt,74,79.5
18.1571102,47.988163,115000,2,2 izbový byt,68,79.5
18.1571102,47.988163,140000,3,3 izbový byt,74,79.5
18.1571102,47.988163,115000,2,2 izbový byt,68,79.5
18.1563161,47.9797862,134990,3,3 izbový byt,74,79.6
18.1684247,47.9805569,110000,2,2 izbový byt,68,80.5
18.1672977,47.9919831,109990,3,3 izbový byt,70,80.1
18.1222676,47.7591025,120000,3,3 izbový byt,75,86.5
18.1356833,47.7638337,105000,3,3 izbový byt,77,87.1
18.1222676,47.7591025,135000,3,3 izbový byt,73,86.5
18.1702293,47.9939118,135000,3,3 izbový byt,74,80.3
18.1702293,47.9939118,112000,2,2 izbový byt,60,80.3
18.1571102,47.988163,115000,2,2 izbový byt,63,79.5
18.1571102,47.988163,140000,3,3 izbový byt,74,79.5
18.1571102,47.988163,115000,2,2 izbový byt,68,79.5
18.1679748,47.9939136,88000,3,3 izbový byt,76,80.1
18.1716774,47.9923125,125000,3,3 izbový byt,84,80.4
18.1716774,47.9923125,120000,3,3 izbový byt,84,80.4
18.1332096,47.7624296,110000,3,3 izbový byt,65,87
18.1356833,47.7638337,105000,3,3 izbový byt,85,87.1
18.1571102,47.988163,145000,3,3 izbový byt,74,79.5
18.1575794,47.9798852,91999,3,3 izbový byt,63,79.7
18.1684247,47.9805569,120000,3,3 izbový byt,84,80.5
18.1356833,47.7638337,125000,3,3 izbový byt,77,87.1
18.1672977,47.9919831,119990,3,3 izbový byt,66,80.1
18.164236,47.9801333,140000,3,3 izbový byt,84,80.2
18.1294132,47.7625785,74900,3,3 izbový byt,66,86.8
18.1684247,47.9805569,116900,4,4 izbový byt,82,80.5
18.6011482,48.2192923,99890,4,4 izbový byt,82,110.6
18.1061682,47.769355,74500,3,3 izbový byt,74,84.9
18.086038,48.3128725,219900,4,4 izbový byt,88,74.4
18.0617735,48.298589,135000,3,3 izbový byt,84,72.3
18.1570879,47.9879659,103000,3,3 izbový byt,73,79.5
18.1570879,47.9879659,105000,3,3 izbový byt,63,79.5
18.1639703,47.9911285,72500,1,1 izbový byt,35,79.9
18.1570879,47.9879659,119000,3,3 izbový byt,84,79.5
18.1639703,47.9911285,123000,4,4 izbový byt,81,79.9
18.1728378,47.9842785,122900,3,3 izbový byt,82,80.7
18.1639703,47.9911285,132000,3,3 izbový byt,76,79.9
18.1639703,47.9911285,68900,1,1 izbový byt,40,79.9
18.1570879,47.9879659,113000,4,4 izbový byt,84,79.5
18.1841017,48.0777205,92000,3,3 izbový byt,65,79.8
18.2501588,47.8882137,73000,3,3 izbový byt,59,89.2
18.2837807,48.1855485,99900,2,2 izbový byt,55,86.9
18.1639703,47.9911285,82000,3,2 izbový byt,66,79.9
18.1728378,47.9842785,120000,3,3 izbový byt,78,80.7
18.2837807,48.1855485,84500,2,2 izbový byt,63,86.9
18.1639703,47.9911285,101000,3,3 izbový byt,65,79.9
18.1570879,47.9879659,138000,4,4 izbový byt,83,79.5
18.4614072,48.2444196,88900,2,2 izbový byt,53,100.5
19.79737,48.72121,97900,2,2 izbový byt,57,208
18.1290125,47.9837954,112000,3,3 izbový byt,73,77.6
18.1332096,47.7624296,90000,3,3 izbový byt,57,87
18.1109789,47.7620071,79990,3,3 izbový byt,68,85.6
18.1106164,47.7631879,89900,3,3 izbový byt,70,85.5
18.1303497,47.7554322,52990,1,1 izbový byt,35,87.2
18.0516667,47.8513889,71500,3,3 izbový byt,68,77.1
18.7165464,47.7933176,73000,2,2 izbový byt,58,125.6
18.0516667,47.8513889,73000,3,3 izbový byt,56,77.1
18.7165464,47.7933176,109000,3,3 izbový byt,73,125.6
18.6461403,47.7777968,63000,1,1 izbový byt,36,121.2
18.12358456,47.76197367,77900,3,3 izbový byt,64,86.4
18.0516667,47.8513889,64000,1,1 izbový byt,35,77.1
18.6461403,47.7777968,73990,3,3 izbový byt,63,121.2
18.1114196,47.7610139,57000,1,1 izbový byt,35,85.7
18.7165464,47.7933176,79900,3,3 izbový byt,63,125.6
18.086038,48.3128725,129500,2,2 izbový byt,56,74.4
18.0753382,48.2924785,139500,2,2 izbový byt,68,73.1
18.1684247,47.9805569,139990,3,3 izbový byt,85,80.5
18.6030776,48.2221835,84900,2,2 izbový byt,63,110.8
17.9938792,47.9165814,118000,3,3 izbový byt,72,70.2
18.1332096,47.7624296,114900,3,3 izbový byt,72,87
18.1332096,47.7624296,86000,3,3 izbový byt,72,87
